temperature_K,thermal_conductivity_W_per_cmK,thermal_conductivity_W_per_mK,value_basis,source_segment,suggested_total_relative_uncertainty_pct,independent_measurement,interpolation_method,source_figure
39,0.133039,13.3039,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
40,0.135,13.5,digitized_trace_anchor,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
41,0.137024,13.7024,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
42,0.139196,13.9196,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
43,0.141411,14.1411,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
44,0.143574,14.3574,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
45,0.145596,14.5596,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
46,0.147395,14.7395,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
47,0.148896,14.8896,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
48,0.150034,15.0034,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
49,0.150752,15.0752,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
50,0.151,15.1,digitized_trace_anchor,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
51,0.151082,15.1082,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
52,0.151541,15.1541,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
53,0.152326,15.2326,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
54,0.153356,15.3356,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
55,0.154559,15.4559,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
56,0.155868,15.5868,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
57,0.157222,15.7222,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
58,0.158563,15.8563,PCHIP_logT_logk,P.Z.J.-constantan trace,4,false,shape-preserving PCHIP in ln(T)-ln(k),"NIST Monograph 131, Figure 43f, printed page 296"
